,drugname,routeadmin,Notes,pain_med?,narcotic?,antiplatelet?,beta-blocker?,statin?,aspirin?,ace-inhibitor?
23022,1 ml  -  lorazepam 2 mg/ml ij soln,IV,Sedative,no,no,no,no,no,no,no
1667676,1 ml  -  naloxone hcl 0.4 mg/ml ij soln,IV,opioid - treats opioid use overdose. Ask Stephanie if to include,maybe,maybe,no,no,no,no,no
4384851,1 ml : heparin sodium (porcine) 5000 unit/ml ij soln,SC,anticoagulant,no,no,no,no,no,no,no
6289731,1 ml : heparin sodium (porcine) 5000 unit/ml ij soln,IV,anticoagulant,no,no,No,no,no,no,no
4318715,1 ml : hydromorphone hcl pf 1 mg/ml ij soln,IV,opioid,yes,yes,no,no,no,no,no
1115740,1 ml : promethazine 25 mg/ml inj soln,IM,Antihistamine,no,no,no,no,no,no,no
6554280,1 ml crtrdg-ndl : hydromorphone hcl pf 1 mg/ml ij soln,IV,opioid,yes,yes,no,no,no,no,no
569061,1 ml crtrdg-ndl : lorazepam 2 mg/ml ij soln,IV,Sedative,no,no,no,no,no,no,no
880421,1 ml crtrdg-ndl : morphine sulfate (pf) 2 mg/ml iv soln,IV,opioid,yes,yes,no,no,no,no,no
4491529,1 ml crtrdg-ndl : morphine sulfate 2 mg/ml ij soln,Intravenous,opioid,yes,yes,no,no,no,no,no
4657434,1 ml syringe : morphine sulfate (pf) 4 mg/ml iv soln,IV,opioid,yes,yes,no,no,no,no,no
3817570,1 ml vial : dexamethasone sodium phosphate 4 mg/ml ij soln,IV,Steroid,no,no,no,no,no,no,no
695258,1 ml vial : diphenhydramine hcl 50 mg/ml ij soln,Intravenous,Antihistamine,no,no,no,no,no,no,no
4911051,"1 ml vial : heparin (porcine) 5,000 unit/ml inj soln",SubQ,anticoagulant,no,no,no,no,no,no,no
6277525,1 ml vial : heparin sodium (porcine) 1000 unit/ml ij soln,IR,anticoagulant,no,no,no,no,no,no,no
6379684,1 ml vial : heparin sodium (porcine) 1000 unit/ml ij soln,Intravenous,anticoagulant,no,no,no,no,no,no,no
547741,1 ml vial : heparin sodium (porcine) 5000 unit/ml ij soln,IV,anticoagulant,no,no,no,no,no,no,no
556302,1 ml vial : heparin sodium (porcine) 5000 unit/ml ij soln,SC,anticoagulant,no,no,no,no,no,no,no
699734,1 ml vial : hydralazine hcl 20 mg/ml ij soln,Intravenous,High blood pressure - vasodilator,no,no,no,no,no,no,no
4461757,1 ml vial : lorazepam 2 mg/ml ij soln,Intravenous,Sedative,no,no,no,no,no,no,no
1127856,1 ml vial : morphine 5 mg/ml inj soln,IV,opioid,yes,yes,no,no,no,no,no
4623881,1 ml vial: diphenhydramine hcl 50 mg/ml ij soln,IV,Antihistamine,no,no,no,no,no,no,no
893066,1 ml vial: heparin sodium (porcine) 5000 unit/ml ij soln,SC,anticoagulant,no,no,no,no,no,no,no
893068,1 ml vial: heparin sodium (porcine) 5000 unit/ml ij soln,IV,anticoagulant,no,no,no,no,no,no,no
3013456,1 ml vial: heparin sodium (porcine) 5000 unit/ml ij soln,IA,anticoagulant,no,no,no,no,no,no,no
868576,1 ml vial: hydralazine hcl 20 mg/ml ij soln,IV,High blood pressure - vasodilator,no,no,no,no,no,no,no
955519,1 ml vial: lorazepam 2 mg/ml ij soln,IV,Sedative,no,no,no,no,no,no,no
1576503,10 ml  -  atropine sulfate 0.1 mg/ml ij soln,IV,Nervous system blocker,no,no,no,no,no,no,no
5316952,10 ml  -  calcium gluconate 10 % iv soln,IV,Treatment for low blood calcium,no,no,no,no,no,no,no
5290455,10 ml  -  heparin sodium (porcine) 1000 unit/ml ij soln,IV,anticoagulant,no,no,no,no,no,no,no
3889034,10 ml  -  insulin glargine 100 unit/ml sc soln,SC,Diabetes medication,no,no,no,no,no,no,no
1576486,10 ml  -  magnesium sulfate 50 % ij soln,IV,Treatment for constipation?,no,no,no,no,no,no,no
1821622,10 ml  -  nicardipine hcl 2.5 mg/ml iv soln,IV,antihypertensive,no,no,no,no,no,no,no
5380358,10 ml  -  potassium chloride 2 meq/ml iv soln,OTHER,Treatment for low blood potassium,no,no,no,no,no,no,no
699731,10 ml cup : docusate sodium 50 mg/5ml po liqd,Oral,Treatment for constipation?,no,no,no,no,no,no,no
3817576,10 ml cup : magnesium hydroxide 2400 mg/10ml po susp,PO,Treatment for constipation?,no,no,no,no,no,no,no
3832891,10 ml cup : magnesium hydroxide 2400 mg/10ml po susp,PER NG TUBE,Treatment for constipation?,no,no,no,no,no,no,no
3868751,10 ml cup : magnesium hydroxide 2400 mg/10ml po susp,PEG TUBE,Treatment for constipation?,no,no,no,no,no,no,no
1576532,10 ml vial : calcium chloride 10 % iv soln,IV,Treatment for low blood calcium?,no,no,no,no,no,no,no
4318720,10 ml vial : calcium gluconate 10 % iv soln,IV,Treatment for low blood calcium,no,no,no,no,no,no,no
1114277,"10 ml vial : heparin (porcine) 1,000 unit/ml inj soln",IV,anticoagulant,no,no,no,no,no,no,no
3370699,"10 ml vial : heparin (porcine) 1,000 unit/ml inj soln",IK,anticoagulant,no,no,no,no,no,no,no
4491531,10 ml vial : heparin sodium (porcine) 1000 unit/ml ij soln,Intravenous,anticoagulant,no,no,no,no,no,no,no
4492031,10 ml vial : heparin sodium (porcine) 1000 unit/ml ij soln,Intra-arterial,anticoagulant,no,no,no,no,no,no,no
559924,10 ml vial : insulin aspart 100 unit/ml sc soln,SC,Diabetes medication,no,no,no,no,no,no,no
637860,10 ml vial : insulin glargine 100 unit/ml sc soln,SC,Diabetes medication,no,no,no,no,no,no,no
699732,10 ml vial : insulin regular human 100 unit/ml ij soln,Subcutaneous,Diabetes medication,no,no,no,no,no,no,no
2715590,10 ml vial : insulin regular human 100 unit/ml ij soln,IV,Diabetes medication,no,no,no,no,no,no,no
2955204,10 ml vial: infuvite iv inj,IV,Multivitamin,no,no,no,no,no,no,no
6554289,10 ml vial: insulin glargine 100 unit/ml sc soln,SC,Diabetes medication,no,no,no,no,no,no,no
895769,10 ml vial: insulin regular human 100 unit/ml ij soln,SC,Diabetes medication,no,no,no,no,no,no,no
6792,100 ml  -  magnesium sulfate in d5w 10-5 mg/ml-% iv soln,IV,Treatment for constipation?,no,no,no,no,no,no,no
1631103,100 ml  -  metronidazole in nacl 5-0.79 mg/ml-% iv soln,IV,Antibiotic?,no,no,no,no,no,no,no
32056,100 ml  -  potassium chloride 20 meq/100ml iv soln,IV,Treatment for low blood potassium,no,no,no,no,no,no,no
5327271,100 ml  -  propofol 10 mg/ml iv emul,IV,Anesthetic?,no,no,no,no,no,no,no
4907171,100 ml bag : sodium chloride 0.9 % 0.9 % iv solp,IV,Electrolyte?,no,no,no,no,no,no,no
1619972,100 ml bag custom ndc : insulin infusion,IV,Diabetes medication,no,no,no,no,no,no,no
552391,100 ml flex cont : magnesium sulfate in d5w 10-5 mg/ml-% iv soln,IV,Treatment for constipation?,no,no,no,no,no,no,no
4488102,100 ml flex cont : magnesium sulfate in d5w 10-5 mg/ml-% iv soln,Intravenous,Treatment for constipation?,no,no,no,no,no,no,no
5336631,100 ml flex cont : sodium chloride 0.9 % iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
5290496,100 ml glass cont : iopamidol 76 % iv soln,IV,"Contrast to help diagnose brain, heart, head, diseases",no,no,no,no,no,no,no
556350,100 ml plas cont : potassium chloride 10 meq/100ml iv soln,IV,Treatment for low blood potassium,no,no,no,no,no,no,no
6266120,100 ml vial : propofol 10 mg/ml iv emul,IV,Anesthetic?,no,no,no,no,no,no,no
955518,100 ml: potassium chloride 20 meq/100ml iv soln,IV,Treatment for low blood potassium,no,no,no,no,no,no,no
1576512,1000 ml  -  dextrose 5 % iv soln,IV,Glucose?,no,no,no,no,no,no,no
5290487,1000 ml  -  dextrose-nacl 5-0.45 % iv soln,IV,Glucose?,no,no,no,no,no,no,no
1620062,1000 ml  -  kcl in dextrose-nacl 20-5-0.45 meq/l-%-% iv soln,IV,Glucose?,no,no,no,no,no,no,no
1576519,1000 ml  -  lactated ringers iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
3854767,1000 ml  -  sodium chloride 0.9 % iv soln,CRRT,Electrolyte?,no,no,no,no,no,no,no
5290456,1000 ml  -  sodium chloride 0.9 % iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
2763155,1000 ml : lactated ringers iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
1120618,1000 ml : sodium chloride 0.9 % 0.9 % iv solp,IV,Electrolyte?,no,no,no,no,no,no,no
4911951,1000 ml bag : lactated ringers iv solp,IV,Electrolyte?,no,no,no,no,no,no,no
6337089,1000 ml flex cont : dextrose-nacl 5-0.45 % iv soln,IV,Glucose?,no,no,no,no,no,no,no
2763147,1000 ml flex cont : sodium chloride 0.45 % iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
547740,1000 ml flex cont : sodium chloride 0.9 % iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
4469167,1000 ml flex cont : sodium chloride 0.9 % iv soln,Intravenous,Electrolyte?,no,no,no,no,no,no,no
6554307,1000 ml flex cont: dextrose-nacl 5-0.45 % iv soln,IV,Glucose?,no,no,no,no,no,no,no
4623435,1000 ml flex cont: sodium chloride 0.9 % iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
4376567,15 ml cup : chlorhexidine gluconate 0.12 % mt soln,Mouth Rinse,Topical antiseptic,no,no,no,no,no,no,no
3351791,15 ml cup : potassium chloride 10 % oral liqd,Oral,Treatment for low blood potassium,no,no,no,no,no,no,no
6212743,15 ml vial : sodium phosphate 3 mmole/ml iv soln,IV,Laxative?,no,no,no,no,no,no,no
6212748,150 ml flex cont : sodium chloride 0.9 % iv soln,OTHER,Electrolyte?,no,no,no,no,no,no,no
3865285,2 ml  -  digoxin 0.25 mg/ml ij soln,IV,Anti arrhythmic - treats heart failure and arrhythmias,no,no,no,no,no,no,no
3817572,2 ml  -  famotidine 10 mg/ml iv soln,IV,Antihistamine and antiacid,no,no,no,no,no,no,no
3882731,2 ml  -  fentanyl citrate 0.05 mg/ml ij soln,IV,opioid,yes,yes,no,no,no,no,no
5320739,2 ml  -  furosemide 10 mg/ml ij soln,IV,Diuretic,no,no,no,no,no,no,no
892,2 ml  -  metoclopramide hcl 5 mg/ml ij soln,IV,Antiemetic - treats GURD?,no,no,no,no,no,no,no
1576529,2 ml  -  nitroprusside sodium 25 mg/ml iv soln,IV,Treats low blood pressure,no,no,no,no,no,no,no
5290479,2 ml  -  prochlorperazine edisylate 5 mg/ml ij soln,IV,Antipsychotic,no,no,no,no,no,no,no
6214552,2 ml : fentanyl citrate 0.05 mg/ml ij soln,IV,opioid,yes,yes,no,no,no,no,no
672365,2 ml : furosemide 10 mg/ml ij soln,IV,Diuretic,no,no,no,no,no,no,no
1115737,2 ml : metoclopramide hcl 5 mg/ml inj soln,IV,Antiemetic - treats GURD?,no,no,no,no,no,no,no
1115742,2 ml : metoclopramide hcl 5 mg/ml inj soln,IM,Antiemetic - treats GURD?,no,no,no,no,no,no,no
709960,2 ml : ondansetron hcl 4 mg/2ml iv soln,Intravenous,antiemetic,no,no,no,no,no,no,no
868964,2 ml ampule: fentanyl citrate 0.05 mg/ml ij soln,IV,opioid,yes,yes,no,no,no,no,no
4318714,2 ml vial : famotidine 10 mg/ml iv soln,IV,Antihistamine and antiacid,no,no,no,no,no,no,no
709961,2 ml vial : famotidine 20 mg/2ml iv soln,Intravenous,Antihistamine and antiacid,no,no,no,no,no,no,no
4488105,2 ml vial : fentanyl citrate 0.05 mg/ml ij soln,Subcutaneous,opioid,yes,yes,no,no,no,no,no
4488108,2 ml vial : fentanyl citrate 0.05 mg/ml ij soln,Intravenous,opioid,yes,yes,no,no,no,no,no
709959,2 ml vial : metoclopramide hcl 5 mg/ml ij soln,Intravenous,Antiemetic - treats GURD?,no,no,no,no,no,no,no
3845843,2 ml vial : midazolam hcl 2 mg/2ml ij soln,IV,Sedative,no,no,no,no,no,no,no
912,2 ml vial : ondansetron hcl 4 mg/2ml ij soln,IV,antiemetic,no,no,no,no,no,no,no
917885,2 ml vial: fentanyl citrate 0.05 mg/ml ij soln,IV,opioid,no,no,no,no,no,no,no
4623871,2 ml vial: furosemide 10 mg/ml ij soln,IV,Diuretic,no,no,no,no,no,no,no
4623430,2 ml vial: midazolam hcl 2 mg/2ml ij soln,IV,Sedative,no,no,no,no,no,no,no
6270093,2 ml: fentanyl citrate 0.05 mg/ml ij soln,IV,opioid,no,no,no,no,no,no,no
4638151,2 ml: ondansetron hcl 4 mg/2ml ij soln,IV,antiemetic,no,no,no,no,no,no,no
6358514,2.5 ml plas : ipratropium bromide 0.02 % in soln,Nebulization,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
3877217,20 ml  -  labetalol hcl 5 mg/ml iv soln,IV,High blood pressure - beta blocker,no,no,no,yes,no,no,no
5300951,20 ml  -  lidocaine hcl 1 % ij soln,SC,Local aneshetic,yes,no,no,no,no,no,no
1576499,20 ml  -  potassium chloride 2 meq/ml iv soln,IV,Treatment for low blood potassium,no,no,no,no,no,no,no
5015600,20 ml vial : potassium chloride 2 meq/ml iv soln,IV,Treatment for low blood potassium,no,no,no,no,no,no,no
6277513,20 ml vial : potassium chloride 2 meq/ml iv soln,OTHER,Treatment for low blood potassium,no,no,no,no,no,no,no
953642,20 ml vial: potassium chloride 2 meq/ml iv soln,IV,Treatment for low blood potassium,no,no,no,no,no,no,no
2763140,20.3 ml cup : acetaminophen 160 mg/5ml po soln,PER TUBE,apap,yes,no,no,no,no,no,no
2796831,20.3 ml cup : acetaminophen 160 mg/5ml po soln,Per NG tube,apap,yes,no,no,no,no,no,no
5290451,250 ml  -  albumin human 5 % iv soln,IV,Treatment for shock?,no,no,no,no,no,no,no
5300161,250 ml  -  sodium chloride 0.9 % iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
4312073,250 ml flex cont : sodium chloride 0.9 % iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
3865282,3 ml  -  albuterol sulfate (2.5 mg/3ml) 0.083% in nebu,NEBULIZATION,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
906,3 ml  -  ipratropium-albuterol 0.5-2.5 (3) mg/3ml in soln,NEBULIZATION,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
4638155,3 ml plas cont: albuterol sulfate (2.5 mg/3ml) 0.083% in nebu,NEBULIZATION,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
4623426,3 ml plas cont: ipratropium-albuterol 0.5-2.5 (3) mg/3ml in soln,NEBULIZATION,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
5380351,3 ml syringe custom ndc : anticoagulant sodium citrate 4 % vi soln,IV,anticoagulant?,no,no,no,no,no,no,no
891,3 ml vial : insulin lispro (human) 100 unit/ml sc soln,SC,Diabetes medication,no,no,no,no,no,no,no
23020,3 ml vial : insulin regular human 100 unit/ml ij soln,SC,Diabetes medication,no,no,no,no,no,no,no
1780373,3 ml vial : insulin regular human 100 unit/ml ij soln,IV,Diabetes medication,no,no,no,no,no,no,no
23026,3.5 g  -  refresh p.m. op oint,BOTH EYES,Artificial tears?,no,no,no,no,no,no,no
5364082,30 ml  -  iopamidol 61 % iv soln,IV,"Contrast to help diagnose brain, heart, head, diseases",no,no,no,no,no,no,no
5414627,30 ml  -  lactulose 10 gm/15ml po soln,PO,Laxative?,no,no,no,no,no,no,no
47476,30 ml cup : alum & mag hydroxide-simeth 200-200-20 mg/5ml po susp,PO,Antiacid,no,no,no,no,no,no,no
743040,30 ml cup : alum & mag hydroxide-simeth 200-200-20 mg/5ml po susp,Oral,Antiacid,no,no,no,no,no,no,no
1619990,30 ml cup : alum & mag hydroxide-simeth 200-200-20 mg/5ml po susp,PER NG TUBE,Antiacid,no,no,no,no,no,no,no
4410257,30 ml cup : magnesium hydroxide 400 mg/5ml po susp,PO,Treatment for constipation?,no,no,no,no,no,no,no
4461758,30 ml cup : magnesium hydroxide 400 mg/5ml po susp,Oral,Treatment for constipation?,no,no,no,no,no,no,no
2796827,37.5 g tube : dextrose (diabetic use) 40 % po gel,Oral,Glucose?,no,no,no,no,no,no,no
23000,37.5 g tube : glucose 40 % po gel,PO,Glucose,no,no,no,no,no,no,no
1620064,37.5 g tube : glucose 40 % po gel,PER NG TUBE,Glucose,no,no,no,no,no,no,no
888,4 ml  -  furosemide 10 mg/ml ij soln,IV,Diuretic,no,no,no,no,no,no,no
6293854,4 ml : furosemide 10 mg/ml ij soln,IV,Diuretic,no,no,no,no,no,no,no
743043,4 ml vial : furosemide 10 mg/ml ij soln,Intravenous,Diuretic,no,no,no,no,no,no,no
4318734,4 ml vial : furosemide 10 mg/ml ij soln,IV,Diuretic,no,no,no,no,no,no,no
1120626,4 ml vial : furosemide 10 mg/ml inj soln,IV,Diuretic,no,no,no,no,no,no,no
4623880,4 ml vial: furosemide 10 mg/ml ij soln,IV,Diuretic,no,no,no,no,no,no,no
3817574,473 ml  -  chlorhexidine gluconate 0.12 % mt soln,SWISH,Topical antiseptic,no,no,no,no,no,no,no
1619957,5 g  -  lidocaine-prilocaine 2.5-2.5 % ex crea,TP,Local aneshetic,yes,no,no,no,no,no,no
47501,5 ml  -  levetiracetam 500 mg/5ml iv soln,IV,anticonvulsant,no,no,no,no,no,no,no
23011,5 ml  -  metoprolol tartrate 1 mg/ml iv soln,IV,High blood pressure - beta blocker,no,no,no,yes,no,no,no
3848069,5 ml syringe : heparin sodium lock flush 10 unit/ml iv soln,IK,anticoagulant,no,no,no,no,no,no,no
5367643,5 ml syringe : heparin sodium lock flush 10 unit/ml iv soln,IV,anticoagulant,no,no,no,no,no,no,no
900,5 ml vial : diltiazem hcl 25 mg/5ml iv soln,IV,antihypertensive,no,no,no,no,no,no,no
756207,5 ml vial : metoprolol tartrate 1 mg/ml iv soln,Intravenous,High blood pressure - beta blocker,no,no,no,yes,no,no,no
55205,5 ml vial : sodium phosphate 3 mmole/ml iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
4623877,5 ml vial: metoprolol tartrate 1 mg/ml iv soln,IV,High blood pressure - beta blocker,no,no,no,yes,no,no,no
5380371,50 ml  -  albumin human 25 % iv soln,IV,Treatment for shock?,no,no,no,no,no,no,no
1576501,50 ml  -  potassium chloride 20 meq/50ml iv soln,IV,Treatment for low blood potassium,no,no,no,no,no,no,no
4321518,50 ml : potassium chloride 20 meq/50ml iv soln,IV,Treatment for low blood potassium,no,no,no,no,no,no,no
4922283,50 ml flex cont : magnesium sulfate 2 gram/50 ml (4 %) iv pgbk,IV,Treatment for constipation?,no,no,no,no,no,no,no
7239,50 ml flex cont : magnesium sulfate 4% ij soln,IV,Treatment for constipation?,no,no,no,no,no,no,no
6266129,50 ml flex cont : magnesium sulfate 40 mg/ml ij soln,IV,Treatment for constipation?,no,no,no,no,no,no,no
868970,50 ml flex cont: magnesium sulfate 40 mg/ml ij soln,IV,Treatment for constipation?,no,no,no,no,no,no,no
1576488,50 ml syringe : dextrose 50 % iv soln,IV,Glucose?,no,no,no,no,no,no,no
2796834,50 ml syringe : dextrose 50 % iv soln,Intravenous,Glucose?,no,no,no,no,no,no,no
5327283,50 ml syringe : sodium bicarbonate 8.4 % iv soln,IV,Treatment for metabolic acidosis?,no,no,no,no,no,no,no
5367633,50 ml vial : sodium bicarbonate 8.4 % iv soln,IV,Treatment for metabolic acidosis?,no,no,no,no,no,no,no
1576526,500 ml  -  heparin (porcine) in d5w 50-5 unit/ml-% iv soln,IV,anticoagulant,no,no,no,no,no,no,no
5290454,500 ml  -  sodium chloride 0.9 % iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
6379683,500 ml : heparin (porcine) in d5w 50-5 unit/ml-% iv soln,Intravenous,anticoagulant,no,no,no,no,no,no,no
1127854,500 ml : sodium chloride 0.9 % 0.9 % iv solp,IV,Electrolyte?,no,no,no,no,no,no,no
570364,500 ml : sodium chloride 0.9 % iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
2740288,500 ml flex cont : sodium chloride 0.9 % iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
4640601,500 ml flex cont excel : sodium chloride 0.9 % iv soln,IV,Electrolyte?,no,no,no,no,no,no,no
47488,8 g  -  albuterol sulfate hfa 108 (90 base) mcg/act in aers,IN,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
6513487,acetamin/hydrocodon 325mg/5mg,PO,apap/opiod,yes,yes,no,no,no,no,no
156364,acetaminophen,PO,apap,yes,no,no,no,no,no,no
156366,acetaminophen,.ROUTE,apap,yes,no,no,no,no,no,no
480846,acetaminophen,RECT,apap,yes,no,no,no,no,no,no
480852,acetaminophen,ORAL,apap,yes,no,no,no,no,no,no
773271,acetaminophen,REC,apap,yes,no,no,no,no,no,no
773822,acetaminophen,NG,apap,yes,no,no,no,no,no,no
1383283,acetaminophen,GASTRIC TU,apap,yes,no,no,no,no,no,no
2858631,acetaminophen,RTL,apap,yes,no,no,no,no,no,no
3036841,acetaminophen,PR,apap,yes,no,no,no,no,no,no
3351794,acetaminophen,RECTAL,apap,yes,no,no,no,no,no,no
3754793,acetaminophen,NGTUBE,apap,yes,no,no,no,no,no,no
4345890,acetaminophen,Oral,apap,yes,no,no,no,no,no,no
6096812,acetaminophen,PO or NG,apap,yes,no,no,no,no,no,no
1194591,acetaminophen  325 mg oral tab,Oral,apap,yes,no,no,no,no,no,no
493765,acetaminophen (tylenol) tab 650 mg,PO,apap,yes,no,no,no,no,no,no
525576,acetaminophen (tylenol) tab 975 mg,PO,apap,yes,no,no,no,no,no,no
4989773,acetaminophen (tylenol) tablet 650 mg,Oral,apap,yes,no,no,no,no,no,no
7010954,acetaminophen (tylenol) tablet 650 mg,PO,apap,yes,no,no,no,no,no,no
3036847,acetaminophen 10 mg/ml 100 ml vial,IV,apap,yes,no,no,no,no,no,no
552395,acetaminophen 325 mg po tabs,PO,apap,yes,no,no,no,no,no,no
5224434,acetaminophen 325 mg po tabs,Oral,apap,yes,no,no,no,no,no,no
5327273,acetaminophen 325 mg po tabs,PER NG TUBE,apap,yes,no,no,no,no,no,no
5413669,acetaminophen 325 mg po tabs,PEG TUBE,apap,yes,no,no,no,no,no,no
1114281,acetaminophen 325 mg rectal suppository,Rect,apap,yes,no,no,no,no,no,no
237019,acetaminophen 325 mg tab,PO,apap,yes,no,no,no,no,no,no
2119312,acetaminophen 325 mg tab,PR,apap,yes,no,no,no,no,no,no
4903094,acetaminophen 325 mg tablet,Oral,apap,yes,no,no,no,no,no,no
6916809,acetaminophen 325 mg tablet,PER NG TUBE,apap,yes,no,no,no,no,no,no
1766701,acetaminophen 500 mg po tabs,PO,apap,yes,no,no,no,no,no,no
4413618,acetaminophen 650 mg re supp,RE,apap,yes,no,no,no,no,no,no
6339005,acetaminophen 650 mg re supp,Rectal,apap,yes,no,no,no,no,no,no
4907170,acetaminophen 650 mg rectal suppository,Rect,apap,yes,no,no,no,no,no,no
228909,acetaminophen 650mg rect supp,PR,apap,yes,no,no,no,no,no,no
1477040,acetaminophen tab,PO,apap,yes,no,no,no,no,no,no
6075293,acetaminophen-oxycodone 325 mg-5 mg oral tablet,PO,apap/opiod,yes,yes,no,no,no,no,no
6118752,albumin (human) (plasbumin-5) 5% infusion 25 g,IV,Treatment for shock?,no,no,no,no,no,no,no
237018,albumin 25% 100 ml inj,IVPB,Treatment for shock?,no,no,no,no,no,no,no
238213,albumin 25% 100 ml inj,IV,Treatment for shock?,no,no,no,no,no,no,no
6071038,albumin 5%,IVPB,Treatment for shock?,no,no,no,no,no,no,no
268231,albumin 5% 250 ml inj,IV,Treatment for shock?,no,no,no,no,no,no,no
2061803,albumin 5% 500 ml inj,IV,Treatment for shock?,no,no,no,no,no,no,no
2474868,albumin human,IVPB,Treatment for shock?,no,no,no,no,no,no,no
5224464,albumin human 25 % iv soln,Intravenous,Treatment for shock?,no,no,no,no,no,no,no
224360,albumin human 25%,IV,Treatment for shock?,no,no,no,no,no,no,no
3549729,albumin human 25%,INTRAVENOU,Treatment for shock?,no,no,no,no,no,no,no
1436608,albumin human 5 % iv soln,IV,Treatment for shock?,no,no,no,no,no,no,no
1436631,albumin human 5 % iv soln,Machine prim,Treatment for shock?,no,no,no,no,no,no,no
1504387,albumin human 5 % iv soln,Intravenous,Treatment for shock?,no,no,no,no,no,no,no
3962071,albumin human 5%,IV,Treatment for shock?,no,no,no,no,no,no,no
7062205,albumin human 5%,INTRAVENOU,Treatment for shock?,no,no,no,no,no,no,no
780974,albuterol 0.083%,INHL,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
2101967,albuterol 2.5 mg/0.5ml ud inh soln,SVN,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
4004920,albuterol 2.5 mg/3 ml ud inh soln,SVN,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
5676648,albuterol 2.5 mg/3 ml ud inh soln,INH,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
5848782,albuterol 2.5 mg/3 ml ud inh soln,NEB,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
4013114,albuterol inh soln (variable dose),SVN,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
5822119,albuterol inh soln (variable dose),NEB,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
6075304,albuterol inhale,Inhale,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
2479935,albuterol neb,Inhale,Treats wheezing and shortness of breath,no,no,no,no,no,no,no
